t,reliability,latency
0,0.9,1.8
1,0.9,1.8
2,0.9,1.8
3,0.9,1.8
4,0.9,1.8
5,0.9,1.8
6,0.9,1.8
7,0.9,1.8
8,0.9,1.8
9,0.9,1.8
10,0.9,1.8
11,0.9,1.8
12,0.9,1.8
13,0.9,1.8
14,0.9,1.8
15,0.9,1.8
16,0.9,1.8
17,0.9,1.8
18,0.9,1.8
19,0.9,1.8
20,0.9,1.8
21,0.9,1.8
22,0.9,1.8
23,0.9,1.8
24,0.9,1.8
25,0.9,1.8
26,0.9,1.8
27,0.9,1.8
28,0.9,1.8
29,0.9,1.8
30,0.9,1.8
31,0.9,1.8
32,0.9,1.8
33,0.9,1.8
34,0.9,1.8
35,0.9,1.8
36,0.9,1.8
37,0.9,1.8
38,0.9,1.8
39,0.9,1.8
40,0.9,1.8
41,0.9,1.8
42,0.9,1.8
43,0.9,1.8
44,0.9,1.8
45,0.9,1.8
46,0.9,1.8
47,0.9,1.8
48,0.9,1.8
49,0.9,1.8
50,0.9,1.8
51,0.9,1.8
52,0.9,1.8
53,0.9,1.8
54,0.9,1.8
55,0.9,1.8
56,0.9,1.8
57,0.9,1.8
58,0.9,1.8
59,0.9,1.8
60,0.9,1.8
61,0.9,1.8
62,0.9,1.8
63,0.9,1.8
64,0.9,1.8
65,0.9,1.8
66,0.9,1.8
67,0.9,1.8
68,0.9,1.8
69,0.9,1.8
70,0.9,1.8
71,0.9,1.8
72,0.9,1.8
73,0.9,1.8
74,0.9,1.8
75,0.9,1.8
76,0.9,1.8
77,0.9,1.8
78,0.9,1.8
79,0.9,1.8
80,0.9,1.8
81,0.9,1.8
82,0.9,1.8
83,0.9,1.8
84,0.9,1.8
85,0.9,1.8
86,0.9,1.8
87,0.9,1.8
88,0.9,1.8
89,0.9,1.8
90,0.9,1.8
91,0.9,1.8
92,0.9,1.8
93,0.9,1.8
94,0.9,1.8
95,0.9,1.8
96,0.9,1.8
97,0.9,1.8
98,0.9,1.8
99,0.9,1.8
100,0.9,1.8
101,0.9,1.8
102,0.9,1.8
103,0.9,1.8
104,0.9,1.8
105,0.9,1.8
106,0.9,1.8
107,0.9,1.8
108,0.9,1.8
109,0.9,1.8
110,0.9,1.8
111,0.9,1.8
112,0.9,1.8
113,0.9,1.8
114,0.9,1.8
115,0.9,1.8
116,0.9,1.8
117,0.9,1.8
118,0.9,1.8
119,0.9,1.8
120,0.9,1.8
121,0.9,1.8
122,0.9,1.8
123,0.9,1.8
124,0.9,1.8
125,0.9,1.8
126,0.9,1.8
127,0.9,1.8
128,0.9,1.8
129,0.9,1.8
130,0.9,1.8
131,0.9,1.8
132,0.9,1.8
133,0.9,1.8
134,0.9,1.8
135,0.9,1.8
136,0.9,1.8
137,0.9,1.8
138,0.9,1.8
139,0.9,1.8
140,0.9,1.8
141,0.9,1.8
142,0.9,1.8
143,0.9,1.8
144,0.9,1.8
145,0.9,1.8
146,0.9,1.8
147,0.9,1.8
148,0.9,1.8
149,0.9,1.8
150,0.9,1.8
151,0.9,1.8
152,0.9,1.8
153,0.9,1.8
154,0.9,1.8
155,0.9,1.8
156,0.9,1.8
157,0.9,1.8
158,0.9,1.8
159,0.9,1.8
160,0.9,1.8
161,0.9,1.8
162,0.9,1.8
163,0.9,1.8
164,0.9,1.8
165,0.9,1.8
166,0.9,1.8
167,0.9,1.8
168,0.9,1.8
169,0.9,1.8
170,0.9,1.8
171,0.9,1.8
172,0.9,1.8
173,0.9,1.8
174,0.9,1.8
175,0.9,1.8
176,0.9,1.8
177,0.9,1.8
178,0.9,1.8
179,0.9,1.8
180,0.9,1.8
181,0.9,1.8
182,0.9,1.8
183,0.9,1.8
184,0.9,1.8
185,0.9,1.8
186,0.9,1.8
