t,reliability,latency,availability
0,0.95,1.2,0.9
1,0.9497,1.2015,0.8998
2,0.9493999999999999,1.2029999999999998,0.8996000000000001
3,0.9490999999999999,1.2045,0.8994
4,0.9488,1.206,0.8992
5,0.9485,1.2075,0.899
6,0.9481999999999999,1.2089999999999999,0.8988
7,0.9479,1.2105,0.8986000000000001
8,0.9476,1.212,0.8984
9,0.9472999999999999,1.2135,0.8982
10,0.947,1.2149999999999999,0.898
11,0.9467,1.2165,0.8978
12,0.9463999999999999,1.218,0.8976000000000001
13,0.9460999999999999,1.2195,0.8974
14,0.9458,1.2209999999999999,0.8972
15,0.9455,1.2225,0.897
16,0.9451999999999999,1.224,0.8968
17,0.9449,1.2255,0.8966000000000001
18,0.9446,1.2269999999999999,0.8964
19,0.9442999999999999,1.2285,0.8962
20,0.944,1.23,0.896
21,0.9437,1.2315,0.8958
22,0.9433999999999999,1.2329999999999999,0.8956000000000001
23,0.9430999999999999,1.2345,0.8954
24,0.9428,1.236,0.8952
25,0.9425,1.2375,0.895
26,0.9421999999999999,1.2389999999999999,0.8948
27,0.9419,1.2405,0.8946000000000001
28,0.9416,1.242,0.8944
29,0.9412999999999999,1.2435,0.8942
30,0.941,1.2449999999999999,0.894
31,0.9407,1.2465,0.8938
32,0.9403999999999999,1.248,0.8936000000000001
33,0.9400999999999999,1.2495,0.8934
34,0.9398,1.251,0.8932
35,0.9395,1.2525,0.893
36,0.9391999999999999,1.254,0.8928
37,0.9389,1.2555,0.8926000000000001
38,0.9386,1.257,0.8924
39,0.9382999999999999,1.2585,0.8922
40,0.938,1.26,0.892
41,0.9377,1.2614999999999998,0.8918
42,0.9374,1.263,0.8916000000000001
43,0.9370999999999999,1.2645,0.8914
44,0.9368,1.266,0.8912
45,0.9365,1.2675,0.891
46,0.9361999999999999,1.269,0.8908
47,0.9359,1.2705,0.8906000000000001
48,0.9356,1.272,0.8904
49,0.9352999999999999,1.2734999999999999,0.8902
50,0.9349999999999999,1.275,0.89
51,0.9347,1.2765,0.8898
52,0.9344,1.278,0.8896000000000001
53,0.9340999999999999,1.2794999999999999,0.8894
54,0.9338,1.281,0.8892
55,0.9335,1.2825,0.889
56,0.9331999999999999,1.284,0.8888
57,0.9329,1.2854999999999999,0.8886000000000001
58,0.9326,1.287,0.8884
59,0.9322999999999999,1.2885,0.8882
60,0.9319999999999999,1.29,0.888
61,0.9317,1.2914999999999999,0.8878
62,0.9314,1.293,0.8876000000000001
63,0.9310999999999999,1.2945,0.8874
64,0.9308,1.296,0.8872
65,0.9305,1.2974999999999999,0.887
