t,reliability,latency
0,0.95,1.2
1,0.9497,1.2015
2,0.9493999999999999,1.2029999999999998
3,0.9490999999999999,1.2045
4,0.9488,1.206
5,0.9485,1.2075
6,0.9481999999999999,1.2089999999999999
7,0.9479,1.2105
8,0.9476,1.212
9,0.9472999999999999,1.2135
10,0.947,1.2149999999999999
11,0.9467,1.2165
12,0.9463999999999999,1.218
13,0.9460999999999999,1.2195
14,0.9458,1.2209999999999999
15,0.9455,1.2225
16,0.9451999999999999,1.224
17,0.9449,1.2255
18,0.9446,1.2269999999999999
19,0.9442999999999999,1.2285
20,0.944,1.23
21,0.9437,1.2315
22,0.9433999999999999,1.2329999999999999
23,0.9430999999999999,1.2345
24,0.9428,1.236
25,0.9425,1.2375
26,0.9421999999999999,1.2389999999999999
27,0.9419,1.2405
28,0.9416,1.242
29,0.9412999999999999,1.2435
30,0.941,1.2449999999999999
31,0.9407,1.2465
32,0.9403999999999999,1.248
33,0.9400999999999999,1.2495
34,0.9398,1.251
35,0.9395,1.2525
36,0.9391999999999999,1.254
37,0.9389,1.2555
38,0.9386,1.257
39,0.9382999999999999,1.2585
40,0.938,1.26
41,0.9377,1.2614999999999998
42,0.9374,1.263
43,0.9370999999999999,1.2645
44,0.9368,1.266
45,0.9365,1.2675
46,0.9361999999999999,1.269
47,0.9359,1.2705
48,0.9356,1.272
49,0.9352999999999999,1.2734999999999999
50,0.9349999999999999,1.275
51,0.9347,1.2765
52,0.9344,1.278
53,0.9340999999999999,1.2794999999999999
54,0.9338,1.281
55,0.9335,1.2825
56,0.9331999999999999,1.284
57,0.9329,1.2854999999999999
58,0.9326,1.287
59,0.9322999999999999,1.2885
60,0.9319999999999999,1.29
61,0.9317,1.2914999999999999
62,0.9314,1.293
63,0.9310999999999999,1.2945
64,0.9308,1.296
65,0.9305,1.2974999999999999
66,0.9301999999999999,1.299
67,0.9299,1.3005
68,0.9296,1.302
69,0.9292999999999999,1.3034999999999999
70,0.9289999999999999,1.305
71,0.9287,1.3065
72,0.9284,1.308
73,0.9280999999999999,1.3094999999999999
74,0.9278,1.311
75,0.9275,1.3125
76,0.9271999999999999,1.314
77,0.9269,1.3155
78,0.9266,1.317
79,0.9262999999999999,1.3185
80,0.9259999999999999,1.3199999999999998
81,0.9257,1.3215
82,0.9254,1.323
83,0.9250999999999999,1.3245
84,0.9248,1.326
85,0.9245,1.3275
86,0.9241999999999999,1.329
87,0.9238999999999999,1.3305
88,0.9236,1.3319999999999999
89,0.9233,1.3335
90,0.9229999999999999,1.335
91,0.9227,1.3365
92,0.9224,1.338
93,0.9220999999999999,1.3395
94,0.9218,1.341
95,0.9215,1.3425
96,0.9211999999999999,1.3439999999999999
97,0.9208999999999999,1.3455
98,0.9206,1.347
99,0.9203,1.3485
100,0.9199999999999999,1.3499999999999999
101,0.9197,1.3515
102,0.9194,1.353
103,0.9190999999999999,1.3545
104,0.9188,1.3559999999999999
105,0.9185,1.3575
106,0.9181999999999999,1.359
107,0.9178999999999999,1.3605
108,0.9176,1.3619999999999999
109,0.9173,1.3635
110,0.9169999999999999,1.365
111,0.9167,1.3665
112,0.9164,1.3679999999999999
113,0.9160999999999999,1.3695
114,0.9158,1.371
115,0.9155,1.3725
116,0.9152,1.3739999999999999
117,0.9148999999999999,1.3755
118,0.9146,1.377
119,0.9143,1.3784999999999998
120,0.9139999999999999,1.38
121,0.9137,1.3815
122,0.9134,1.383
123,0.9130999999999999,1.3845
124,0.9128,1.386
125,0.9125,1.3875
126,0.9122,1.389
127,0.9118999999999999,1.3904999999999998
128,0.9116,1.392
129,0.9113,1.3935
130,0.9109999999999999,1.395
131,0.9107,1.3965
132,0.9104,1.398
133,0.9100999999999999,1.3995
134,0.9097999999999999,1.401
135,0.9095,1.4024999999999999
136,0.9092,1.404
137,0.9088999999999999,1.4055
138,0.9086,1.407
139,0.9083,1.4084999999999999
140,0.9079999999999999,1.41
141,0.9077,1.4115
142,0.9074,1.413
143,0.9071,1.4144999999999999
144,0.9067999999999999,1.416
145,0.9065,1.4175
146,0.9062,1.419
147,0.9058999999999999,1.4204999999999999
148,0.9056,1.422
149,0.9053,1.4235
150,0.9049999999999999,1.425
151,0.9047,1.4264999999999999
152,0.9044,1.428
153,0.9040999999999999,1.4295
154,0.9037999999999999,1.431
155,0.9035,1.4324999999999999
156,0.9032,1.434
157,0.9028999999999999,1.4355
158,0.9026,1.437
159,0.9023,1.4385
160,0.9019999999999999,1.44
161,0.9017,1.4415
162,0.9014,1.443
163,0.9011,1.4445
164,0.9007999999999999,1.446
165,0.9005,1.4475
166,0.9002,1.4489999999999998
167,0.8998999999999999,1.4505
168,0.8996,1.452
169,0.8993,1.4535
170,0.8989999999999999,1.455
171,0.8986999999999999,1.4565
172,0.8984,1.458
173,0.8981,1.4595
174,0.8977999999999999,1.4609999999999999
175,0.8975,1.4625
176,0.8972,1.464
177,0.8968999999999999,1.4655
178,0.8966,1.467
179,0.8963,1.4685
180,0.8959999999999999,1.47
181,0.8956999999999999,1.4715
182,0.8954,1.4729999999999999
183,0.8951,1.4745
184,0.8947999999999999,1.476
185,0.8945,1.4775
186,0.8942,1.479
187,0.8938999999999999,1.4805
188,0.8936,1.482
189,0.8933,1.4835
190,0.893,1.4849999999999999
191,0.8926999999999999,1.4865
192,0.8924,1.488
193,0.8921,1.4895
194,0.8917999999999999,1.4909999999999999
195,0.8915,1.4925
196,0.8912,1.494
197,0.8908999999999999,1.4954999999999998
198,0.8906,1.4969999999999999
199,0.8903,1.4985
200,0.8899999999999999,1.5
201,0.8896999999999999,1.5015
202,0.8894,1.503
203,0.8891,1.5045
204,0.8887999999999999,1.506
205,0.8885,1.5074999999999998
206,0.8882,1.509
207,0.8878999999999999,1.5105
208,0.8876,1.512
209,0.8873,1.5135
210,0.887,1.515
211,0.8866999999999999,1.5165
212,0.8864,1.518
213,0.8861,1.5194999999999999
214,0.8857999999999999,1.521
215,0.8855,1.5225
216,0.8852,1.524
217,0.8849,1.5255
218,0.8845999999999999,1.527
219,0.8843,1.5285
220,0.884,1.53
221,0.8836999999999999,1.5314999999999999
222,0.8834,1.533
223,0.8831,1.5345
224,0.8827999999999999,1.536
225,0.8825,1.5375
226,0.8822,1.539
227,0.8818999999999999,1.5405
228,0.8815999999999999,1.542
229,0.8813,1.5434999999999999
230,0.881,1.545
231,0.8806999999999999,1.5465
232,0.8804,1.548
233,0.8801,1.5495
234,0.8797999999999999,1.551
235,0.8795,1.5525
236,0.8792,1.5539999999999998
237,0.8789,1.5554999999999999
238,0.8785999999999999,1.557
239,0.8783,1.5585
240,0.878,1.56
241,0.8776999999999999,1.5614999999999999
242,0.8774,1.563
243,0.8771,1.5645
244,0.8768,1.5659999999999998
245,0.8765,1.5675
246,0.8762,1.569
247,0.8758999999999999,1.5705
248,0.8755999999999999,1.572
249,0.8753,1.5735
250,0.875,1.575
251,0.8746999999999999,1.5765
252,0.8744,1.5779999999999998
253,0.8741,1.5795
254,0.8737999999999999,1.581
255,0.8734999999999999,1.5825
256,0.8732,1.584
257,0.8729,1.5855
258,0.8725999999999999,1.587
259,0.8723,1.5885
260,0.872,1.5899999999999999
261,0.8716999999999999,1.5915
262,0.8714,1.593
263,0.8711,1.5945
264,0.8708,1.596
265,0.8704999999999999,1.5975
266,0.8702,1.599
267,0.8699,1.6005
268,0.8695999999999999,1.6019999999999999
269,0.8693,1.6035
270,0.869,1.605
271,0.8686999999999999,1.6065
272,0.8684,1.608
273,0.8681,1.6095
274,0.8677999999999999,1.611
275,0.8674999999999999,1.6125
276,0.8672,1.6139999999999999
277,0.8669,1.6155
278,0.8665999999999999,1.617
279,0.8663,1.6185
280,0.866,1.6199999999999999
281,0.8656999999999999,1.6215
282,0.8654,1.623
283,0.8651,1.6244999999999998
284,0.8648,1.626
285,0.8644999999999999,1.6275
286,0.8642,1.629
287,0.8639,1.6305
288,0.8635999999999999,1.632
289,0.8633,1.6335
290,0.863,1.635
291,0.8627,1.6364999999999998
292,0.8623999999999999,1.638
293,0.8621,1.6395
294,0.8618,1.641
295,0.8614999999999999,1.6425
296,0.8612,1.644
297,0.8609,1.6455
298,0.8605999999999999,1.647
299,0.8603,1.6484999999999999
300,0.86,1.65
301,0.8596999999999999,1.6515
302,0.8593999999999999,1.653
303,0.8591,1.6545
304,0.8588,1.656
305,0.8584999999999999,1.6575
306,0.8582,1.659
307,0.8579,1.6604999999999999
308,0.8575999999999999,1.662
309,0.8573,1.6635
310,0.857,1.665
311,0.8567,1.6665
312,0.8563999999999999,1.668
313,0.8561,1.6695
314,0.8558,1.671
315,0.8554999999999999,1.6724999999999999
316,0.8552,1.674
317,0.8549,1.6755
318,0.8546,1.677
319,0.8543,1.6785
320,0.854,1.68
321,0.8536999999999999,1.6815
322,0.8533999999999999,1.6829999999999998
323,0.8531,1.6844999999999999
324,0.8528,1.686
325,0.8524999999999999,1.6875
326,0.8522,1.689
327,0.8519,1.6905
328,0.8515999999999999,1.692
329,0.8513,1.6935
330,0.851,1.6949999999999998
331,0.8507,1.6965
332,0.8503999999999999,1.698
333,0.8501,1.6995
334,0.8498,1.701
335,0.8494999999999999,1.7025000000000001
336,0.8492,1.704
337,0.8489,1.7055
