t,reliability,latency,availability
0,0.85,1.0,0.99
1,0.85,1.0,0.99
2,0.85,1.0,0.99
3,0.85,1.0,0.99
4,0.85,1.0,0.99
5,0.85,1.0,0.99
6,0.85,1.0,0.99
7,0.85,1.0,0.99
8,0.85,1.0,0.99
9,0.85,1.0,0.99
10,0.85,1.0,0.99
11,0.85,1.0,0.99
12,0.85,1.0,0.99
13,0.85,1.0,0.99
14,0.85,1.0,0.99
15,0.85,1.0,0.99
16,0.85,1.0,0.99
17,0.85,1.0,0.99
18,0.85,1.0,0.99
19,0.85,1.0,0.99
20,0.85,1.0,0.99
21,0.85,1.0,0.99
22,0.85,1.0,0.99
23,0.85,1.0,0.99
24,0.85,1.0,0.99
25,0.85,1.0,0.99
26,0.85,1.0,0.99
27,0.85,1.0,0.99
28,0.85,1.0,0.99
29,0.85,1.0,0.99
30,0.85,1.0,0.99
31,0.85,1.0,0.99
32,0.85,1.0,0.99
33,0.85,1.0,0.99
34,0.85,1.0,0.99
35,0.85,1.0,0.99
36,0.85,1.0,0.99
37,0.85,1.0,0.99
38,0.85,1.0,0.99
39,0.85,1.0,0.99
40,0.85,1.0,0.99
41,0.85,1.0,0.99
42,0.85,1.0,0.99
43,0.85,1.0,0.99
44,0.85,1.0,0.99
45,0.85,1.0,0.99
46,0.85,1.0,0.99
47,0.85,1.0,0.99
48,0.85,1.0,0.99
49,0.85,1.0,0.99
50,0.85,1.0,0.99
51,0.85,1.0,0.99
52,0.85,1.0,0.99
53,0.85,1.0,0.99
54,0.85,1.0,0.99
55,0.85,1.0,0.99
56,0.85,1.0,0.99
57,0.85,1.0,0.99
58,0.85,1.0,0.99
59,0.85,1.0,0.99
60,0.85,1.0,0.99
61,0.85,1.0,0.99
62,0.85,1.0,0.99
63,0.85,1.0,0.99
64,0.85,1.0,0.99
65,0.85,1.0,0.99
66,0.85,1.0,0.99
67,0.85,1.0,0.99
68,0.85,1.0,0.99
69,0.85,1.0,0.99
70,0.85,1.0,0.99
71,0.85,1.0,0.99
72,0.85,1.0,0.99
73,0.85,1.0,0.99
74,0.85,1.0,0.99
