t,reliability,latency,availability
0,0.95,1.2,0.9
1,0.95,1.2,0.9
2,0.95,1.2,0.9
3,0.95,1.2,0.9
4,0.95,1.2,0.9
5,0.95,1.2,0.9
6,0.95,1.2,0.9
7,0.95,1.2,0.9
8,0.95,1.2,0.9
9,0.95,1.2,0.9
10,0.95,1.2,0.9
11,0.95,1.2,0.9
12,0.95,1.2,0.9
13,0.95,1.2,0.9
14,0.95,1.2,0.9
15,0.95,1.2,0.9
16,0.95,1.2,0.9
17,0.95,1.2,0.9
18,0.95,1.2,0.9
19,0.95,1.2,0.9
20,0.95,1.2,0.9
21,0.95,1.2,0.9
22,0.95,1.2,0.9
23,0.95,1.2,0.9
24,0.95,1.2,0.9
25,0.95,1.2,0.9
26,0.95,1.2,0.9
27,0.95,1.2,0.9
28,0.95,1.2,0.9
29,0.95,1.2,0.9
30,0.95,1.2,0.9
31,0.95,1.2,0.9
32,0.95,1.2,0.9
33,0.95,1.2,0.9
34,0.95,1.2,0.9
35,0.95,1.2,0.9
36,0.95,1.2,0.9
37,0.95,1.2,0.9
38,0.95,1.2,0.9
39,0.95,1.2,0.9
40,0.95,1.2,0.9
41,0.95,1.2,0.9
42,0.95,1.2,0.9
43,0.95,1.2,0.9
44,0.95,1.2,0.9
45,0.95,1.2,0.9
46,0.95,1.2,0.9
47,0.95,1.2,0.9
48,0.95,1.2,0.9
49,0.95,1.2,0.9
50,0.95,1.2,0.9
51,0.95,1.2,0.9
52,0.95,1.2,0.9
53,0.95,1.2,0.9
54,0.95,1.2,0.9
55,0.95,1.2,0.9
56,0.95,1.2,0.9
57,0.95,1.2,0.9
58,0.95,1.2,0.9
59,0.95,1.2,0.9
60,0.95,1.2,0.9
61,0.95,1.2,0.9
62,0.95,1.2,0.9
63,0.95,1.2,0.9
64,0.95,1.2,0.9
65,0.95,1.2,0.9
66,0.95,1.2,0.9
67,0.95,1.2,0.9
68,0.95,1.2,0.9
69,0.95,1.2,0.9
70,0.95,1.2,0.9
71,0.95,1.2,0.9
72,0.95,1.2,0.9
73,0.95,1.2,0.9
74,0.95,1.2,0.9
75,0.95,1.2,0.9
76,0.95,1.2,0.9
77,0.95,1.2,0.9
78,0.95,1.2,0.9
79,0.95,1.2,0.9
80,0.95,1.2,0.9
81,0.95,1.2,0.9
82,0.95,1.2,0.9
83,0.95,1.2,0.9
84,0.95,1.2,0.9
85,0.95,1.2,0.9
86,0.95,1.2,0.9
87,0.95,1.2,0.9
88,0.95,1.2,0.9
89,0.95,1.2,0.9
90,0.95,1.2,0.9
91,0.95,1.2,0.9
92,0.95,1.2,0.9
93,0.95,1.2,0.9
94,0.95,1.2,0.9
95,0.95,1.2,0.9
96,0.95,1.2,0.9
97,0.95,1.2,0.9
98,0.95,1.2,0.9
99,0.95,1.2,0.9
100,0.95,1.2,0.9
101,0.95,1.2,0.9
102,0.95,1.2,0.9
103,0.95,1.2,0.9
104,0.95,1.2,0.9
105,0.95,1.2,0.9
106,0.95,1.2,0.9
107,0.95,1.2,0.9
108,0.95,1.2,0.9
109,0.95,1.2,0.9
110,0.95,1.2,0.9
111,0.95,1.2,0.9
112,0.95,1.2,0.9
113,0.95,1.2,0.9
114,0.95,1.2,0.9
115,0.95,1.2,0.9
116,0.95,1.2,0.9
117,0.95,1.2,0.9
118,0.95,1.2,0.9
119,0.95,1.2,0.9
120,0.95,1.2,0.9
121,0.95,1.2,0.9
122,0.95,1.2,0.9
123,0.95,1.2,0.9
124,0.95,1.2,0.9
125,0.95,1.2,0.9
126,0.95,1.2,0.9
127,0.95,1.2,0.9
128,0.95,1.2,0.9
129,0.95,1.2,0.9
130,0.95,1.2,0.9
131,0.95,1.2,0.9
132,0.95,1.2,0.9
133,0.95,1.2,0.9
134,0.95,1.2,0.9
135,0.95,1.2,0.9
136,0.95,1.2,0.9
137,0.95,1.2,0.9
138,0.95,1.2,0.9
139,0.95,1.2,0.9
140,0.95,1.2,0.9
141,0.95,1.2,0.9
142,0.95,1.2,0.9
143,0.95,1.2,0.9
144,0.95,1.2,0.9
145,0.95,1.2,0.9
146,0.95,1.2,0.9
147,0.95,1.2,0.9
148,0.95,1.2,0.9
149,0.95,1.2,0.9
150,0.95,1.2,0.9
151,0.95,1.2,0.9
152,0.95,1.2,0.9
153,0.95,1.2,0.9
154,0.95,1.2,0.9
155,0.95,1.2,0.9
156,0.95,1.2,0.9
157,0.95,1.2,0.9
158,0.95,1.2,0.9
159,0.95,1.2,0.9
160,0.95,1.2,0.9
161,0.95,1.2,0.9
162,0.95,1.2,0.9
163,0.95,1.2,0.9
164,0.95,1.2,0.9
165,0.95,1.2,0.9
166,0.95,1.2,0.9
167,0.95,1.2,0.9
168,0.95,1.2,0.9
169,0.95,1.2,0.9
170,0.95,1.2,0.9
171,0.95,1.2,0.9
172,0.95,1.2,0.9
173,0.95,1.2,0.9
174,0.95,1.2,0.9
175,0.95,1.2,0.9
176,0.95,1.2,0.9
177,0.95,1.2,0.9
178,0.95,1.2,0.9
179,0.95,1.2,0.9
180,0.95,1.2,0.9
181,0.95,1.2,0.9
182,0.95,1.2,0.9
183,0.95,1.2,0.9
184,0.95,1.2,0.9
185,0.95,1.2,0.9
186,0.95,1.2,0.9
187,0.95,1.2,0.9
188,0.95,1.2,0.9
189,0.95,1.2,0.9
190,0.95,1.2,0.9
191,0.95,1.2,0.9
192,0.95,1.2,0.9
193,0.95,1.2,0.9
194,0.95,1.2,0.9
195,0.95,1.2,0.9
196,0.95,1.2,0.9
197,0.95,1.2,0.9
198,0.95,1.2,0.9
199,0.95,1.2,0.9
200,0.75,2.8,0.7
201,0.75,2.8,0.7
202,0.75,2.8,0.7
203,0.75,2.8,0.7
204,0.75,2.8,0.7
205,0.75,2.8,0.7
206,0.75,2.8,0.7
207,0.75,2.8,0.7
208,0.75,2.8,0.7
209,0.75,2.8,0.7
210,0.75,2.8,0.7
211,0.75,2.8,0.7
212,0.75,2.8,0.7
213,0.75,2.8,0.7
214,0.75,2.8,0.7
215,0.75,2.8,0.7
216,0.75,2.8,0.7
217,0.75,2.8,0.7
218,0.75,2.8,0.7
219,0.75,2.8,0.7
220,0.75,2.8,0.7
221,0.75,2.8,0.7
222,0.75,2.8,0.7
223,0.75,2.8,0.7
224,0.75,2.8,0.7
225,0.75,2.8,0.7
226,0.75,2.8,0.7
227,0.75,2.8,0.7
228,0.75,2.8,0.7
229,0.75,2.8,0.7
230,0.75,2.8,0.7
231,0.75,2.8,0.7
232,0.75,2.8,0.7
233,0.75,2.8,0.7
234,0.75,2.8,0.7
235,0.75,2.8,0.7
236,0.75,2.8,0.7
237,0.75,2.8,0.7
238,0.75,2.8,0.7
239,0.75,2.8,0.7
240,0.75,2.8,0.7
241,0.75,2.8,0.7
242,0.75,2.8,0.7
243,0.75,2.8,0.7
244,0.75,2.8,0.7
245,0.75,2.8,0.7
246,0.75,2.8,0.7
247,0.75,2.8,0.7
248,0.75,2.8,0.7
249,0.75,2.8,0.7
250,0.75,2.8,0.7
251,0.75,2.8,0.7
252,0.75,2.8,0.7
253,0.75,2.8,0.7
254,0.75,2.8,0.7
255,0.75,2.8,0.7
256,0.75,2.8,0.7
257,0.75,2.8,0.7
258,0.75,2.8,0.7
259,0.75,2.8,0.7
260,0.75,2.8,0.7
261,0.75,2.8,0.7
262,0.75,2.8,0.7
263,0.75,2.8,0.7
264,0.75,2.8,0.7
265,0.75,2.8,0.7
266,0.75,2.8,0.7
267,0.75,2.8,0.7
268,0.75,2.8,0.7
269,0.75,2.8,0.7
270,0.75,2.8,0.7
271,0.75,2.8,0.7
272,0.75,2.8,0.7
273,0.75,2.8,0.7
274,0.75,2.8,0.7
275,0.75,2.8,0.7
276,0.75,2.8,0.7
277,0.75,2.8,0.7
278,0.75,2.8,0.7
279,0.75,2.8,0.7
280,0.75,2.8,0.7
281,0.75,2.8,0.7
282,0.75,2.8,0.7
283,0.75,2.8,0.7
284,0.75,2.8,0.7
285,0.75,2.8,0.7
286,0.75,2.8,0.7
287,0.75,2.8,0.7
288,0.75,2.8,0.7
289,0.75,2.8,0.7
290,0.75,2.8,0.7
291,0.75,2.8,0.7
292,0.75,2.8,0.7
293,0.75,2.8,0.7
294,0.75,2.8,0.7
295,0.75,2.8,0.7
296,0.75,2.8,0.7
297,0.75,2.8,0.7
298,0.75,2.8,0.7
299,0.75,2.8,0.7
300,0.75,2.8,0.7
301,0.75,2.8,0.7
302,0.75,2.8,0.7
303,0.75,2.8,0.7
304,0.75,2.8,0.7
305,0.75,2.8,0.7
306,0.75,2.8,0.7
307,0.75,2.8,0.7
308,0.75,2.8,0.7
309,0.75,2.8,0.7
310,0.75,2.8,0.7
311,0.75,2.8,0.7
312,0.75,2.8,0.7
313,0.75,2.8,0.7
314,0.75,2.8,0.7
315,0.75,2.8,0.7
316,0.75,2.8,0.7
317,0.75,2.8,0.7
318,0.75,2.8,0.7
319,0.75,2.8,0.7
320,0.75,2.8,0.7
321,0.75,2.8,0.7
322,0.75,2.8,0.7
323,0.75,2.8,0.7
324,0.75,2.8,0.7
325,0.75,2.8,0.7
326,0.75,2.8,0.7
327,0.75,2.8,0.7
328,0.75,2.8,0.7
329,0.75,2.8,0.7
330,0.75,2.8,0.7
331,0.75,2.8,0.7
332,0.75,2.8,0.7
333,0.75,2.8,0.7
334,0.75,2.8,0.7
335,0.75,2.8,0.7
336,0.75,2.8,0.7
337,0.75,2.8,0.7
338,0.75,2.8,0.7
339,0.75,2.8,0.7
340,0.75,2.8,0.7
341,0.75,2.8,0.7
342,0.75,2.8,0.7
343,0.75,2.8,0.7
344,0.75,2.8,0.7
345,0.75,2.8,0.7
346,0.75,2.8,0.7
347,0.75,2.8,0.7
348,0.75,2.8,0.7
349,0.75,2.8,0.7
350,0.95,1.2,0.9
351,0.95,1.2,0.9
352,0.95,1.2,0.9
353,0.95,1.2,0.9
354,0.95,1.2,0.9
355,0.95,1.2,0.9
356,0.95,1.2,0.9
357,0.95,1.2,0.9
358,0.95,1.2,0.9
359,0.95,1.2,0.9
360,0.95,1.2,0.9
361,0.95,1.2,0.9
362,0.95,1.2,0.9
363,0.95,1.2,0.9
364,0.95,1.2,0.9
365,0.95,1.2,0.9
366,0.95,1.2,0.9
367,0.95,1.2,0.9
368,0.95,1.2,0.9
369,0.95,1.2,0.9
370,0.95,1.2,0.9
371,0.95,1.2,0.9
372,0.95,1.2,0.9
373,0.95,1.2,0.9
374,0.95,1.2,0.9
375,0.95,1.2,0.9
376,0.95,1.2,0.9
377,0.95,1.2,0.9
378,0.95,1.2,0.9
379,0.95,1.2,0.9
380,0.95,1.2,0.9
381,0.95,1.2,0.9
382,0.95,1.2,0.9
383,0.95,1.2,0.9
384,0.95,1.2,0.9
385,0.95,1.2,0.9
386,0.95,1.2,0.9
387,0.95,1.2,0.9
388,0.95,1.2,0.9
