t,reliability,latency
0,0.95,1.2
1,0.95,1.2
2,0.95,1.2
3,0.95,1.2
4,0.95,1.2
5,0.95,1.2
6,0.95,1.2
7,0.95,1.2
8,0.95,1.2
9,0.95,1.2
10,0.95,1.2
11,0.95,1.2
12,0.95,1.2
13,0.95,1.2
14,0.95,1.2
15,0.95,1.2
16,0.95,1.2
17,0.95,1.2
18,0.95,1.2
19,0.95,1.2
20,0.95,1.2
21,0.95,1.2
22,0.95,1.2
23,0.95,1.2
24,0.95,1.2
25,0.95,1.2
26,0.95,1.2
27,0.95,1.2
28,0.95,1.2
29,0.95,1.2
30,0.95,1.2
31,0.95,1.2
32,0.95,1.2
33,0.95,1.2
34,0.95,1.2
35,0.95,1.2
36,0.95,1.2
37,0.95,1.2
38,0.95,1.2
39,0.95,1.2
40,0.95,1.2
41,0.95,1.2
42,0.95,1.2
43,0.95,1.2
44,0.95,1.2
45,0.95,1.2
46,0.95,1.2
47,0.95,1.2
48,0.95,1.2
49,0.95,1.2
50,0.95,1.2
51,0.95,1.2
52,0.95,1.2
53,0.95,1.2
54,0.95,1.2
55,0.95,1.2
56,0.95,1.2
57,0.95,1.2
58,0.95,1.2
59,0.95,1.2
60,0.95,1.2
61,0.95,1.2
62,0.95,1.2
63,0.95,1.2
64,0.95,1.2
65,0.95,1.2
66,0.95,1.2
67,0.95,1.2
68,0.95,1.2
69,0.95,1.2
70,0.95,1.2
71,0.95,1.2
72,0.95,1.2
73,0.95,1.2
74,0.95,1.2
75,0.95,1.2
76,0.95,1.2
77,0.95,1.2
78,0.95,1.2
79,0.95,1.2
80,0.95,1.2
81,0.95,1.2
82,0.95,1.2
83,0.95,1.2
84,0.95,1.2
85,0.95,1.2
86,0.95,1.2
87,0.95,1.2
88,0.95,1.2
89,0.95,1.2
90,0.95,1.2
91,0.95,1.2
92,0.95,1.2
93,0.95,1.2
94,0.95,1.2
95,0.95,1.2
96,0.95,1.2
97,0.95,1.2
98,0.95,1.2
99,0.95,1.2
100,0.95,1.2
101,0.95,1.2
102,0.95,1.2
103,0.95,1.2
104,0.95,1.2
105,0.95,1.2
106,0.95,1.2
107,0.95,1.2
108,0.95,1.2
109,0.95,1.2
110,0.95,1.2
111,0.95,1.2
112,0.95,1.2
113,0.95,1.2
114,0.95,1.2
115,0.95,1.2
116,0.95,1.2
117,0.95,1.2
118,0.95,1.2
119,0.95,1.2
120,0.95,1.2
121,0.95,1.2
122,0.95,1.2
123,0.95,1.2
124,0.95,1.2
125,0.95,1.2
126,0.95,1.2
127,0.95,1.2
128,0.95,1.2
129,0.95,1.2
130,0.95,1.2
131,0.95,1.2
132,0.95,1.2
133,0.95,1.2
134,0.95,1.2
135,0.95,1.2
136,0.95,1.2
137,0.95,1.2
138,0.95,1.2
139,0.95,1.2
140,0.95,1.2
141,0.95,1.2
142,0.95,1.2
143,0.95,1.2
144,0.95,1.2
145,0.95,1.2
146,0.95,1.2
147,0.95,1.2
148,0.95,1.2
149,0.95,1.2
150,0.95,1.2
151,0.95,1.2
152,0.95,1.2
153,0.95,1.2
154,0.95,1.2
155,0.95,1.2
156,0.95,1.2
157,0.95,1.2
158,0.95,1.2
159,0.95,1.2
160,0.95,1.2
161,0.95,1.2
162,0.95,1.2
163,0.95,1.2
164,0.95,1.2
165,0.95,1.2
166,0.95,1.2
167,0.95,1.2
168,0.95,1.2
169,0.95,1.2
170,0.95,1.2
171,0.95,1.2
172,0.95,1.2
173,0.95,1.2
174,0.95,1.2
175,0.95,1.2
176,0.95,1.2
177,0.95,1.2
178,0.95,1.2
179,0.95,1.2
180,0.95,1.2
181,0.95,1.2
182,0.95,1.2
183,0.95,1.2
184,0.95,1.2
185,0.95,1.2
186,0.95,1.2
187,0.95,1.2
188,0.95,1.2
189,0.95,1.2
190,0.95,1.2
191,0.95,1.2
192,0.95,1.2
193,0.95,1.2
194,0.95,1.2
195,0.95,1.2
196,0.95,1.2
197,0.95,1.2
198,0.95,1.2
199,0.95,1.2
200,0.95,1.2
201,0.95,1.2
202,0.95,1.2
203,0.95,1.2
204,0.95,1.2
205,0.95,1.2
206,0.95,1.2
207,0.95,1.2
208,0.95,1.2
209,0.95,1.2
210,0.95,1.2
211,0.95,1.2
212,0.95,1.2
213,0.95,1.2
214,0.95,1.2
215,0.95,1.2
216,0.95,1.2
217,0.95,1.2
218,0.95,1.2
219,0.95,1.2
220,0.95,1.2
221,0.95,1.2
222,0.95,1.2
223,0.95,1.2
224,0.95,1.2
225,0.95,1.2
226,0.95,1.2
227,0.95,1.2
228,0.95,1.2
